Update Rate, Waits / Sec, Rollbacks / Sec, Ping
16643.8,9,18,111
16633.4,10,16,118
16818.1,5,18,106
16630.7,4,17,104
16689.5,12,11,131
16639.4,7,8,49
16627.2,3,1,39
16742.1,6,3,63
16637.1,7,3,39
16643.4,3,4,31
16640.5,10,4,64
16640.7,4,2,34
16638.3,4,2,71
16637.8,4,2,55
16625.6,6,2,20
16629.6,0,0,25
16661.2,0,0,30
16649.8,0,0,24
16625.6,0,0,22
16650,0,0,24
16647.1,0,0,24
16631.7,0,0,28
16639,0,0,28
16633.7,0,0,30
16650.8,0,0,29
27262.6,3,3,249
35646.2,6,4,223
38586.1,0,11,251
36691.9,1,13,233
37069.9,2,11,229
35890.7,1,7,221
37348.1,0,14,244
36915.5,0,12,241
38955.2,0,10,226
37767.2,0,11,246
36819,0,9,217
37502.8,0,12,248
37688.9,0,11,242
38314.3,0,12,240
38740.3,0,9,242
37546.7,0,13,243
38802.8,0,12,248
37289.7,0,10,246
35218.6,1,10,219
36602.1,1,9,241
36781.8,0,9,220
38167.6,0,13,246
37828.4,0,12,243
37378.4,0,13,249
37606.8,0,12,248
37176.3,0,13,241
36632.9,0,9,231
37305.3,0,9,235
37604.3,0,12,247
38443,0,12,242
35598.4,1,11,228
37736,0,13,244
37887.4,0,14,251
38017.3,0,15,240
37954.9,1,10,246
38714,0,15,246
38347.3,0,10,223
37524.2,1,11,239
37945.1,1,10,247
38237.9,0,13,248
37349.4,0,12,247
37439.7,0,12,248
38881.2,0,13,241
35419.2,2,15,214
36142.8,0,3,222
38050.6,0,15,246
39932,0,13,231
36109.2,0,9,236
36463.7,0,19,237
37911.5,0,16,249
37671.1,2,11,230
37233.3,0,11,247
37730.2,0,12,244
37758.6,0,11,243
37832.9,0,16,248
37242.1,0,11,232
37474.3,0,12,244
38462.9,0,13,245
36763.9,0,12,234
38109.4,0,15,245
39216.8,0,10,234
38013.5,0,11,250
36988.6,0,10,236
37611.1,0,15,238
35250.2,2,7,218
38513.8,0,10,247
37359.1,0,12,246
38284.4,0,12,244
38037.3,0,12,247
37441.1,0,12,245
38298.8,0,11,244
37181.6,1,10,231
35537.7,2,7,229
38094.2,0,11,247
37266.5,0,11,246
35043.3,1,10,215
35437.8,1,10,228
38599.3,1,9,246
37159.2,0,10,242
40211.5,0,11,236
38099.2,0,15,245
35038.8,2,6,218
16861.6,3,10,165
16750.7,6,27,170
16957.1,6,24,171
16643.8,10,28,196
16786,6,25,174
16916.3,4,26,173
16641,3,24,171
17329.4,6,22,193
16660.1,9,25,187
17168.3,5,25,179
18025.7,2,29,193
17941.6,0,26,189
20760.9,2,18,188
16617.6,8,32,173
18457.7,6,27,197
16642,10,22,188
16624.5,2,28,170
16716.2,3,26,168
23327.4,5,25,204
16653.3,12,24,187
16632.6,11,22,174
16639.7,9,23,172
17088.7,3,26,178
16896.2,1,25,170
16855.4,0,22,173
16848.6,0,25,175
27220.8,1,22,196
16686.1,9,22,184
16726.7,6,30,174
17295.9,1,27,180
16684.1,0,22,177
18983.1,0,24,193
18606.3,3,16,170
17478.8,0,23,181
18157,6,17,184
16832.8,9,27,174
18019,2,29,177
16673.7,2,26,175
16757.6,0,23,176
16744.1,4,23,176
16913.9,0,25,175
16783.8,0,23,172
16800.8,0,23,170
25136.2,0,25,206
17786.9,11,21,176
16630.4,14,23,180
19286.8,6,25,196
16711.9,11,14,191
16639.6,13,18,186
16989.8,14,11,192
22648,14,9,212
21620.9,18,11,199
16723.4,14,9,197
17586.9,8,6,194
18758.3,9,20,186
16641.2,12,12,193
16676,9,20,181
16642.8,1,28,174
16624.3,3,27,171
16646.6,2,26,171
18283.5,3,25,186
17725,4,25,182
17563.4,5,19,177
16684,11,10,184
16658,11,8,177
23847,15,11,211
19028.1,11,8,191
16637.5,11,20,171
16647.6,3,26,174
16640.2,4,27,181
16635.7,5,28,172
16733.8,1,24,175
16645.2,4,27,177
16644.3,5,28,176
16653.1,3,24,180
17054,5,26,195
16840.7,0,25,171
19179.8,0,23,200
21182.5,7,24,188
16645.5,6,24,168
17225.8,4,18,177
16618.9,4,26,172
16681.2,1,27,172
16635.9,0,23,174
17690,4,27,183
16697.2,8,18,175
16651.8,5,29,168
24140.9,2,19,189
16639.8,9,30,176
16839.1,3,24,179
17082.3,0,24,178
16734.8,8,25,172
17096.9,0,26,181
26480.9,1,17,186
16642.1,8,31,184
